listing_id,price,borough,neighbourhood_name,accommodates,bedrooms,beds,price_per_accommodate,host_is_superhost,number_of_reviews,review_scores_rating,availability_365
932277,114.0,Brooklyn,DUMBO,1,1.0,1.0,114.0,f,35,4.81,148
936218,53.0,Manhattan,Harlem,1,1.0,1.0,53.0,f,40,5.0,119
938022,115.0,Brooklyn,Williamsburg,2,1.0,1.0,57.5,t,138,4.88,22
818518,95.0,Manhattan,Harlem,2,1.0,1.0,47.5,f,86,4.57,72
819206,39.0,Manhattan,East Harlem,1,1.0,1.0,39.0,f,151,4.61,335
819956,55.0,Brooklyn,Bedford-Stuyvesant,2,1.0,2.0,27.5,f,36,4.71,363
820953,95.0,Brooklyn,Greenpoint,2,2.0,1.0,47.5,f,11,4.7,107
939657,90.0,Manhattan,Harlem,3,1.0,2.0,30.0,t,93,4.74,304
940116,45.0,Brooklyn,Sunset Park,1,1.0,1.0,45.0,t,56,4.95,276
944840,95.0,Brooklyn,DUMBO,2,1.0,1.0,47.5,f,16,4.69,93
945297,105.0,Manhattan,East Village,1,1.0,1.0,105.0,t,713,4.81,221
951365,113.0,Queens,Ridgewood,2,1.0,1.0,56.5,f,140,4.79,331
951439,228.0,Manhattan,Upper West Side,2,1.0,2.0,114.0,f,9,4.89,167
1146653,1000.0,Manhattan,Upper West Side,3,2.0,1.0,333.3333333333333,f,22,4.89,364
1157522,288.0,Brooklyn,Williamsburg,3,2.0,2.0,96.0,f,150,4.81,146
1166947,125.0,Manhattan,Washington Heights,1,1.0,1.0,125.0,f,0,,365
1167658,65.0,Brooklyn,Greenpoint,1,1.0,1.0,65.0,f,129,4.63,283
1180296,75.0,Manhattan,Harlem,1,1.0,1.0,75.0,t,121,4.68,197
953314,750.0,Manhattan,Midtown,12,3.0,6.0,62.5,f,148,4.66,365
956412,350.0,Brooklyn,DUMBO,4,2.0,3.0,87.5,f,393,4.69,365
958444,110.0,Bronx,City Island,2,1.0,2.0,55.0,f,111,4.86,60
973535,100.0,Queens,East Elmhurst,4,1.0,2.0,25.0,f,203,4.57,243
973653,100.0,Manhattan,Harlem,3,1.0,2.0,33.333333333333336,f,0,,362
